"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL257197";"";"None";"473.56";"0";"4.08";"19";"C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N(C)C";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"16.02";"0.30";"3.51";"7.74";"0";"CHEMBL928909";"Inhibition of human erbB2 autophosphorylation in MCF7 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308403";"";"";""
"CHEMBL257196";"";"None";"445.51";"0";"3.48";"17";"C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(N)=O";"IC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"15.38";"0.29";"3.37";"5.67";"0";"CHEMBL928909";"Inhibition of human erbB2 autophosphorylation in MCF7 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308403";"";"";""
"CHEMBL256996";"";"None";"473.56";"0";"4.08";"16";"C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cscn4)c3)c12)C(=O)N(C)C";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"14.54";"0.28";"2.81";"7.02";"0";"CHEMBL928909";"Inhibition of human erbB2 autophosphorylation in MCF7 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141539";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308403";"";"";""
"CHEMBL497697";"";"None";"390.43";"0";"2.89";"12";"CN/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1";"IC50";"'='";"361.0";"nM";"6.44";"";"";"UO_0000065";"16.50";"0.30";"3.55";"6.08";"0";"CHEMBL1007323";"Inhibition of human ErB2 phosphorylation in human SKBR3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"SK-BR-3";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155952";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308062";"";"";""
"CHEMBL271668";"";"None";"473.53";"0";"4.05";"17";"Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)NCCO)c34)cc2C)cn1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"14.15";"0.26";"2.65";"5.65";"0";"CHEMBL930659";"Inhibition of ebrB2 expressed in human MCF7 cells by autophosphorylation assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141561";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308403";"";"";""
"CHEMBL258354";"";"None";"505.96";"1";"4.24";"4";"O=C(COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)N1CCOCC1";"IC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"13.55";"0.26";"2.61";"6.94";"0";"CHEMBL930659";"Inhibition of ebrB2 expressed in human MCF7 cells by autophosphorylation assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"MCF7";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141561";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308403";"";"";""
"CHEMBL1172878";"";"None";"335.75";"0";"3.01";"3k";"Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl";"IC50";"'='";"36450.0";"nM";"4.44";"";"";"UO_0000065";"13.22";"0.26";"1.43";"5.09";"0";"CHEMBL1177208";"Inhibition of human recombinant His6x-tagged HER2 autophosphorylation expressed in Sf9 cells after 1 hr by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177684";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3308860";"";"";""
"CHEMBL257873";"";"None";"479.52";"0";"3.57";"12g";"Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2F)cn1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"17.31";"0.32";"4.73";"6.84";"0";"CHEMBL947895";"Inhibition of erbB2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143160";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL248108";"";"None";"470.56";"0";"3.93";"2";"NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"16.27";"0.30";"3.73";"8.58";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL246284";"";"None";"487.54";"0";"3.52";"3";"Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"14.89";"0.28";"3.74";"8.02";"0";"CHEMBL1647392";"Inhibition of HER2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1824";"Receptor protein-tyrosine kinase erbB-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641446";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
